"site","countUndamagedFruitNumberPerPlant","countDamagedFruitNumberPerPlant","permanentPlot","year"
"DEM",5,0,0,2013
"DEM",2,0,0,2013
"DEM",3,5,0,2013
"DEM",2,0,0,2013
"DEM",2,0,0,2013
"DEM",4,0,0,2013
"DEM",6,0,0,2013
"DEM",2,3,0,2013
"DEM",1,0,0,2013
"DEM",1,0,0,2013
"DEM",0,1,0,2013
"DEM",2,1,0,2013
"DEM",1,0,0,2013
"DEM",1,0,0,2013
"DEM",2,0,0,2013
"DEM",1,0,0,2013
"DEM",1,1,0,2013
"DEM",2,1,0,2013
"DEM",0,1,0,2013
"DEM",1,1,0,2013
"DLW",2,0,1,2013
"DLW",1,0,1,2013
"DLW",0,1,0,2013
"DLW",0,2,0,2013
"DLW",0,3,0,2013
"DLW",0,3,0,2013
"DLW",0,4,0,2013
"DLW",0,4,0,2013
"DLW",1,0,0,2013
"DLW",1,0,0,2013
"DLW",1,0,0,2013
"DLW",1,0,0,2013
"DLW",1,0,0,2013
"DLW",1,0,0,2013
"DLW",1,0,0,2013
"DLW",1,0,0,2013
"DLW",1,0,0,2013
"DLW",1,0,0,2013
"DLW",1,0,0,2013
"DLW",1,1,0,2013
"DLW",1,1,0,2013
"DLW",1,4,0,2013
"DLW",1,3,0,2013
"DLW",2,0,0,2013
"DLW",2,0,0,2013
"DLW",2,0,0,2013
"DLW",2,0,0,2013
"DLW",2,0,0,2013
"DLW",2,0,0,2013
"DLW",2,0,0,2013
"DLW",2,0,0,2013
"DLW",2,0,0,2013
"DLW",2,0,0,2013
"DLW",2,0,0,2013
"DLW",2,0,0,2013
"DLW",2,0,0,2013
"DLW",2,0,0,2013
"DLW",2,0,0,2013
"DLW",2,0,0,2013
"DLW",3,0,0,2013
"DLW",3,0,0,2013
"DLW",3,0,0,2013
"DLW",3,0,0,2013
"DLW",3,0,0,2013
"DLW",3,0,0,2013
"DLW",3,0,0,2013
"DLW",4,0,0,2013
"DLW",4,0,0,2013
"DLW",4,0,0,2013
"DLW",4,0,0,2013
"DLW",4,0,0,2013
"DLW",4,1,0,2013
"DLW",4,1,0,2013
"DLW",4,3,0,2013
"DLW",4,5,0,2013
"DLW",5,0,0,2013
"DLW",5,0,0,2013
"DLW",5,0,0,2013
"DLW",5,0,0,2013
"DLW",5,0,0,2013
"DLW",6,0,0,2013
"DLW",6,0,0,2013
"DLW",6,0,0,2013
"DLW",8,0,0,2013
"DLW",8,0,0,2013
"DLW",10,0,0,2013
"DLW",15,5,0,2013
"DLW",18,7,0,2013
"EC",0,1,1,2013
"EC",2,0,1,2013
"EC",3,0,1,2013
"EC",0,1,1,2013
"EC",0,2,1,2013
"EC",1,0,1,2013
"EC",2,0,1,2013
"EC",0,1,1,2013
"EC",2,0,1,2013
"EC",0,3,1,2013
"EC",2,1,1,2013
"EC",1,0,1,2013
"EC",1,0,1,2013
"EC",1,1,0,2013
"EC",1,1,0,2013
"EC",4,1,0,2013
"EC",3,0,0,2013
"EC",1,0,0,2013
"EC",1,0,0,2013
"EC",5,0,0,2013
"EC",5,0,0,2013
"EC",5,0,0,2013
"EC",2,0,0,2013
"EC",1,0,0,2013
"EC",4,0,0,2013
"EC",3,0,0,2013
"EC",4,1,0,2013
"EC",1,1,0,2013
"EC",0,1,0,2013
"EC",3,0,0,2013
"EC",0,1,0,2013
"EC",2,0,0,2013
"EC",2,0,0,2013
"EC",5,0,0,2013
"EC",2,0,0,2013
"EC",2,2,0,2013
"EC",2,0,0,2013
"EC",3,1,0,2013
"EC",1,1,0,2013
"EC",5,0,0,2013
"EC",5,0,0,2013
"EC",3,0,0,2013
"EC",3,0,0,2013
"EC",2,0,0,2013
"EC",2,0,0,2013
"EC",1,0,0,2013
"EC",3,0,0,2013
"EC",5,1,0,2013
"EC",2,1,0,2013
"EC",0,1,0,2013
"EC",3,0,0,2013
"EC",1,0,0,2013
"EC",2,3,0,2013
"EC",0,1,0,2013
"FR",2,3,0,2013
"FR",0,1,0,2013
"FR",5,0,0,2013
"FR",5,0,0,2013
"FR",0,1,0,2013
"FR",5,0,0,2013
"GCN",1,0,1,2013
"GCN",2,0,1,2013
"GCN",2,0,0,2013
"GCN",1,0,0,2013
"GCN",2,0,0,2013
"GCN",5,0,0,2013
"GCN",5,0,0,2013
"GCN",6,0,0,2013
"GCN",4,0,0,2013
"GCN",2,0,0,2013
"GCN",2,2,0,2013
"KYE",3,0,1,2013
"KYE",1,0,1,2013
"KYE",1,0,1,2013
"KYE",0,1,1,2013
"KYE",2,1,1,2013
"KYE",1,0,1,2013
"KYE",2,0,0,2013
"KYE",5,0,0,2013
"KYE",3,0,0,2013
"KYE",1,0,0,2013
"KYE",0,1,0,2013
"KYE",2,2,0,2013
"KYE",3,0,0,2013
"KYE",6,1,0,2013
"KYE",2,0,0,2013
"KYE",0,2,0,2013
"KYE",0,1,0,2013
"KYE",0,1,0,2013
"KYE",2,0,0,2013
"KYE",1,0,0,2013
"KYE",0,2,0,2013
"KYE",1,1,0,2013
"KYE",2,0,0,2013
"KYE",3,0,0,2013
"KYE",1,0,0,2013
"KYE",1,0,0,2013
"KYE",0,2,0,2013
"KYE",1,0,0,2013
"KYE",1,0,0,2013
"KYE",1,1,0,2013
"KYE",3,0,0,2013
"KYE",3,0,0,2013
"KYE",1,0,0,2013
"KYE",18,4,0,2013
"KYE",0,1,0,2013
"KYE",4,0,0,2013
"KYE",1,0,0,2013
"KYE",1,0,0,2013
"KYE",4,0,0,2013
"KYE",1,0,0,2013
"KYE",2,0,0,2013
"KYE",2,0,0,2013
"KYE",0,2,0,2013
"KYE",1,1,0,2013
"KYE",2,0,0,2013
"KYE",1,0,0,2013
"KYE",1,0,0,2013
"KYE",0,13,0,2013
"KYE",0,0,0,2013
"KYE",5,2,0,2013
"KYE",6,0,0,2013
"KYE",1,0,0,2013
"KYE",0,1,0,2013
"KYE",3,0,0,2013
"KYE",2,0,0,2013
"KYE",2,0,0,2013
"KYE",10,0,0,2013
"KYE",2,0,0,2013
"KYE",0,2,0,2013
"KYE",1,3,0,2013
"LCE",2,0,0,2013
"LCE",14,0,0,2013
"LCE",2,0,0,2013
"LCE",3,0,0,2013
"LCE",6,0,0,2013
"LCE",2,0,0,2013
"LCE",6,0,0,2013
"LCE",2,0,0,2013
"LCE",6,0,0,2013
"LCE",3,0,0,2013
"LCE",1,0,0,2013
"LCE",1,0,0,2013
"LCE",2,0,0,2013
"LCE",5,0,0,2013
"LCE",1,0,0,2013
"LCE",4,0,0,2013
"LCE",2,0,0,2013
"LCE",5,0,0,2013
"LCE",10,0,0,2013
"LCE",3,0,0,2013
"LCE",3,0,0,2013
"LCE",2,0,0,2013
"LCE",3,0,0,2013
"LCE",2,0,0,2013
"LCE",1,0,0,2013
"LCW",NA,NA,0,2013
