"site","transect","position","year","seedlingNumber","fruitplNumber"
"BR","I",4,2007,8,2
"BR","I",4,2008,24,6
"BR","I",4,2009,22,4
"BR","I",4,2010,9,7
"BR","I",4,2011,13,4
"BR","I",4,2012,17,0
"BR","I",4,2013,16,0
"BR","I",4,2014,0,1
"BR","I",4,2015,20,0
"BR","I",4,2016,0,0
"BR","I",4,2017,43,8
"BR","I",4,2018,11,11
"BR","I",4,2019,181,88
"BR","I",4,2020,884,17
"BR","I",4,2021,7,1
"BR","I",5,2006,1,0
"BR","I",5,2007,4,0
"BR","I",5,2008,0,0
"BR","I",5,2009,3,1
"BR","I",5,2010,3,2
"BR","I",5,2011,7,1
"BR","I",5,2012,4,1
"BR","I",5,2013,34,1
"BR","I",5,2014,0,0
"BR","I",5,2015,1,0
"BR","I",5,2016,0,0
"BR","I",5,2017,22,0
"BR","I",5,2018,11,2
"BR","I",5,2019,12,13
"BR","I",5,2020,432,0
"BR","I",5,2021,2,0
"BR","I",6,2006,NA,4
"BR","I",6,2007,15,6
"BR","I",6,2008,69,21
"BR","I",6,2009,115,5
"BR","I",6,2010,16,14
"BR","I",6,2011,15,2
"BR","I",6,2012,8,3
"BR","I",6,2013,27,0
"BR","I",6,2014,0,0
"BR","I",6,2015,9,0
"BR","I",6,2016,3,3
"BR","I",6,2017,9,6
"BR","I",6,2018,0,4
"BR","I",6,2019,66,49
"BR","I",6,2020,721,3
"BR","I",6,2021,10,2
"BR","I",7,2006,NA,9
"BR","I",7,2007,67,9
"BR","I",7,2008,97,33
"BR","I",7,2009,201,23
"BR","I",7,2010,100,40
"BR","I",7,2011,26,10
"BR","I",7,2012,16,0
"BR","I",7,2013,15,1
"BR","I",7,2014,1,0
"BR","I",7,2015,0,0
"BR","I",7,2016,0,0
"BR","I",7,2017,1,0
"BR","I",7,2018,2,1
"BR","I",7,2019,9,17
"BR","I",7,2020,1196,2
"BR","I",7,2021,15,0
"BR","II",1,2006,32,14
"BR","II",1,2007,60,4
"BR","II",1,2008,71,14
"BR","II",1,2009,69,11
"BR","II",1,2010,45,38
"BR","II",1,2011,30,7
"BR","II",1,2012,31,0
"BR","II",1,2013,27,1
"BR","II",1,2014,0,0
"BR","II",1,2015,2,0
"BR","II",1,2016,0,0
"BR","II",1,2017,19,1
"BR","II",1,2018,0,2
"BR","II",1,2019,57,48
"BR","II",1,2020,2750,7
"BR","II",1,2021,42,0
"BR","II",2,2006,45,5
"BR","II",2,2007,115,11
"BR","II",2,2008,181,42
"BR","II",2,2009,112,13
"BR","II",2,2010,10,30
"BR","II",2,2011,39,0
"BR","II",2,2012,5,0
"BR","II",2,2013,8,0
"BR","II",2,2014,0,0
"BR","II",2,2015,2,0
"BR","II",2,2016,0,0
"BR","II",2,2017,1,1
"BR","II",2,2018,0,1
"BR","II",2,2019,54,52
"BR","II",2,2020,4050,14
"BR","II",2,2021,34,0
"BR","II",3,2006,23,16
"BR","II",3,2007,47,9
"BR","II",3,2008,218,42
"BR","II",3,2009,225,4
"BR","II",3,2010,17,26
"BR","II",3,2011,28,0
"BR","II",3,2012,0,0
"BR","II",3,2013,9,1
"BR","II",3,2014,0,2
"BR","II",3,2015,83,0
"BR","II",3,2016,1,0
"BR","II",3,2017,0,0
"BR","II",3,2018,3,4
"BR","II",3,2019,49,53
"BR","II",3,2020,2780,2
"BR","II",3,2021,15,0
"BR","II",4,2006,44,4
"BR","II",4,2007,35,10
"BR","II",4,2008,104,43
"BR","II",4,2009,173,33
"BR","II",4,2010,58,36
"BR","II",4,2011,3,0
"BR","II",4,2012,0,1
"BR","II",4,2013,17,4
"BR","II",4,2014,0,0
"BR","II",4,2015,23,0
"BR","II",4,2016,0,0
"BR","II",4,2017,9,0
"BR","II",4,2018,0,2
"BR","II",4,2019,68,46
"BR","II",4,2020,965,3
"BR","II",4,2021,4,2
"BR","II",5,2006,43,6
"BR","II",5,2007,17,2
"BR","II",5,2008,44,9
"BR","II",5,2009,78,28
"BR","II",5,2010,78,61
"BR","II",5,2011,174,35
"BR","II",5,2012,34,2
"BR","II",5,2013,17,1
"BR","II",5,2014,0,0
"BR","II",5,2015,10,0
"BR","II",5,2016,0,0
"BR","II",5,2017,5,1
"BR","II",5,2018,22,16
"BR","II",5,2019,84,60
"BR","II",5,2020,958,0
"BR","II",5,2021,4,0
"BR","II",6,2006,NA,9
"BR","II",6,2007,46,4
"BR","II",6,2008,42,18
"BR","II",6,2009,60,11
"BR","II",6,2010,38,44
"BR","II",6,2011,198,23
"BR","II",6,2012,68,1
"BR","II",6,2013,19,1
"BR","II",6,2014,2,1
"BR","II",6,2015,14,0
"BR","II",6,2016,0,0
"BR","II",6,2017,9,2
"BR","II",6,2018,0,2
"BR","II",6,2019,4,3
"BR","II",6,2020,841,5
"BR","II",6,2021,12,1
"BR","II",7,2006,NA,2
"BR","II",7,2007,13,0
"BR","II",7,2008,6,1
"BR","II",7,2009,6,4
"BR","II",7,2010,4,9
"BR","II",7,2011,96,8
"BR","II",7,2012,96,3
"BR","II",7,2013,30,0
"BR","II",7,2014,1,1
"BR","II",7,2015,9,0
"BR","II",7,2016,1,1
"BR","II",7,2017,80,0
"BR","II",7,2018,1,5
"BR","II",7,2019,40,19
"BR","II",7,2020,445,3
"BR","II",7,2021,15,0
"BR","II",8,2006,NA,1
"BR","II",8,2007,11,2
"BR","II",8,2008,46,13
"BR","II",8,2009,152,32
"BR","II",8,2010,36,46
"BR","II",8,2011,46,5
