"site","countFruitNumberPerPlant","permanentPlot","damage","year"
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",6,0,NA,2006
"BR",7,0,NA,2006
"BR",7,0,NA,2006
"BR",7,0,NA,2006
"BR",7,0,NA,2006
"BR",7,0,NA,2006
"BR",7,0,NA,2006
"BR",7,0,NA,2006
"BR",7,0,NA,2006
"BR",7,0,NA,2006
"BR",7,0,NA,2006
"BR",7,0,NA,2006
"BR",7,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",8,0,NA,2006
"BR",9,0,NA,2006
"BR",9,0,NA,2006
"BR",9,0,NA,2006
"BR",9,0,NA,2006
"BR",9,0,NA,2006
"BR",9,0,NA,2006
"BR",9,0,NA,2006
"BR",9,0,NA,2006
"BR",9,0,NA,2006
"BR",9,0,NA,2006
"BR",9,0,NA,2006
"BR",9,0,NA,2006
"BR",9,0,NA,2006
"BR",9,0,NA,2006
"BR",9,0,NA,2006
"BR",9,0,NA,2006
"BR",10,0,NA,2006
"BR",10,0,NA,2006
"BR",10,0,NA,2006
"BR",10,0,NA,2006
"BR",10,0,NA,2006
"BR",10,0,NA,2006
"BR",10,0,NA,2006
"BR",10,0,NA,2006
"BR",10,0,NA,2006
"BR",10,0,NA,2006
"BR",10,0,NA,2006
"BR",11,0,NA,2006
"BR",11,0,NA,2006
"BR",11,0,NA,2006
"BR",11,0,NA,2006
"BR",11,0,NA,2006
"BR",11,0,NA,2006
"BR",12,0,NA,2006
"BR",12,0,NA,2006
"BR",12,0,NA,2006
"BR",12,0,NA,2006
"BR",12,0,NA,2006
"BR",12,0,NA,2006
"BR",12,0,NA,2006
"BR",12,0,NA,2006
"BR",12,0,NA,2006
"BR",13,0,NA,2006
"BR",13,0,NA,2006
"BR",13,0,NA,2006
"BR",13,0,NA,2006
"BR",13,0,NA,2006
"BR",14,0,NA,2006
"BR",14,0,NA,2006
"BR",15,0,NA,2006
"BR",15,0,NA,2006
"BR",15,0,NA,2006
"BR",15,0,NA,2006
"BR",16,0,NA,2006
"BR",16,0,NA,2006
"BR",16,0,NA,2006
"BR",16,0,NA,2006
"BR",16,0,NA,2006
"BR",16,0,NA,2006
"BR",16,0,NA,2006
"BR",17,0,NA,2006
"BR",17,0,NA,2006
"BR",17,0,NA,2006
"BR",17,0,NA,2006
"BR",17,0,NA,2006
"BR",17,0,NA,2006
"BR",18,0,NA,2006
"BR",18,0,NA,2006
"BR",19,0,NA,2006
"BR",21,0,NA,2006
"BR",21,0,NA,2006
"BR",22,0,NA,2006
"BR",22,0,NA,2006
"BR",22,0,NA,2006
"BR",23,0,NA,2006
"BR",23,0,NA,2006
"BR",28,0,NA,2006
"BR",29,0,NA,2006
"BR",30,0,NA,2006
"BR",31,0,NA,2006
"BR",36,0,NA,2006
"BR",52,0,NA,2006
"BR",58,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",1,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",2,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",3,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",4,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
