"site","year","damaged","sdno"
"CP3",2007,0,43
"CP3",2007,0,46
"CP3",2007,0,46
"CP3",2007,0,46
"CP3",2007,0,48
"CP3",2007,0,49
"CP3",2007,0,50
"CP3",2007,0,50
"CP3",2007,0,52
"CP3",2007,0,52
"CP3",2007,0,52
"CP3",2007,0,54
"CP3",2007,0,54
"CP3",2007,0,55
"CP3",2007,0,57
"CP3",2007,0,57
"CP3",2007,0,58
"CP3",2007,0,58
"CP3",2007,0,58
"CP3",2007,0,75
"DEM",2007,0,8
"DEM",2007,0,8
"DEM",2007,0,15
"DEM",2007,0,18
"DEM",2007,0,19
"DEM",2007,0,19
"DEM",2007,0,19
"DEM",2007,0,20
"DEM",2007,0,21
"DEM",2007,0,24
"DEM",2007,0,25
"DEM",2007,0,25
"DEM",2007,0,25
"DEM",2007,0,27
"DEM",2007,0,27
"DEM",2007,0,30
"DEM",2007,0,30
"DEM",2007,0,30
"DEM",2007,0,31
"DEM",2007,0,32
"DEM",2007,0,34
"DEM",2007,0,36
"DEM",2007,0,37
"DEM",2007,0,39
"DEM",2007,0,39
"DEM",2007,0,41
"DEM",2007,0,41
"DEM",2007,0,41
"DEM",2007,0,47
"DEM",2007,0,48
"DEM",2007,0,48
"DEM",2007,0,55
"DLW",2007,0,0
"DLW",2007,0,20
"DLW",2007,0,22
"DLW",2007,0,28
"DLW",2007,0,28
"DLW",2007,0,33
"DLW",2007,0,34
"DLW",2007,0,34
"DLW",2007,0,35
"DLW",2007,0,38
"DLW",2007,0,40
"DLW",2007,0,41
"DLW",2007,0,44
"DLW",2007,0,46
"DLW",2007,0,47
"DLW",2007,0,47
"DLW",2007,0,48
"DLW",2007,0,50
"DLW",2007,0,54
"DLW",2007,0,55
"DLW",2007,0,59
"DLW",2007,0,60
"DLW",2007,0,60
"DLW",2007,0,61
"DLW",2007,0,61
"DLW",2007,0,64
"DLW",2007,0,71
"DLW",2007,0,77
"DLW",2007,0,79
"EC",2007,0,15
"EC",2007,0,20
"EC",2007,0,27
"EC",2007,0,31
"EC",2007,0,33
"EC",2007,0,33
"EC",2007,0,36
"EC",2007,0,36
"EC",2007,0,37
"EC",2007,0,41
"EC",2007,0,42
"EC",2007,0,45
"EC",2007,0,45
"EC",2007,0,46
"EC",2007,0,46
"EC",2007,0,50
"EC",2007,0,68
"FR",2007,0,0
"FR",2007,0,0
"FR",2007,0,2
"FR",2007,0,19
"FR",2007,0,34
"FR",2007,0,35
"FR",2007,0,37
"FR",2007,0,38
"FR",2007,0,40
"FR",2007,0,42
"FR",2007,0,43
"FR",2007,0,44
"FR",2007,0,46
"FR",2007,0,46
"FR",2007,0,47
"FR",2007,0,48
"FR",2007,0,52
"FR",2007,0,53
"FR",2007,0,54
"FR",2007,0,56
"FR",2007,0,56
"FR",2007,0,64
"FR",2007,0,64
"FR",2007,0,65
"FR",2007,0,66
"FR",2007,0,68
"FR",2007,0,68
"FR",2007,0,68
"FR",2007,0,69
"FR",2007,0,70
"FR",2007,0,72
"FR",2007,0,76
"FR",2007,0,88
"FR",2007,0,96
"GCN",2007,0,14
"GCN",2007,0,20
"GCN",2007,0,21
"GCN",2007,0,21
"GCN",2007,0,22
"GCN",2007,0,26
"GCN",2007,0,28
"GCN",2007,0,30
"GCN",2007,0,31
"GCN",2007,0,33
"GCN",2007,0,33
"GCN",2007,0,33
"GCN",2007,0,34
"GCN",2007,0,38
"GCN",2007,0,40
"GCN",2007,0,40
"GCN",2007,0,42
"GCN",2007,0,42
"GCN",2007,0,44
"GCN",2007,0,45
"GCN",2007,0,46
"GCN",2007,0,46
"GCN",2007,0,49
"GCN",2007,0,50
"GCN",2007,0,51
"GCN",2007,0,52
"GCN",2007,0,53
"GCN",2007,0,55
"GCN",2007,0,73
"KYE",2007,0,2
"KYE",2007,0,14
"KYE",2007,0,19
"KYE",2007,0,20
"KYE",2007,0,22
"KYE",2007,0,23
"KYE",2007,0,26
"KYE",2007,0,27
"KYE",2007,0,32
"KYE",2007,0,33
"KYE",2007,0,34
"KYE",2007,0,34
"KYE",2007,0,34
"KYE",2007,0,35
"KYE",2007,0,37
"KYE",2007,0,38
"KYE",2007,0,39
"KYE",2007,0,40
"KYE",2007,0,40
"KYE",2007,0,42
"KYE",2007,0,44
"KYE",2007,0,45
"KYE",2007,0,50
"KYE",2007,0,52
"KYE",2007,0,53
"KYE",2007,0,56
"KYE",2007,0,57
"KYE",2007,0,67
"KYE",2007,0,81
"KYE",2007,0,98
"LCE",2007,0,28
"LCE",2007,0,30
"LCE",2007,0,34
"LCE",2007,0,35
"LCE",2007,0,37
"LCE",2007,0,38
"LCE",2007,0,39
"LCE",2007,0,41
"LCE",2007,0,45
"LCE",2007,0,46
"LCE",2007,0,47
"LCE",2007,0,49
"LCE",2007,0,49
"LCE",2007,0,50
"LCE",2007,0,50
"LCE",2007,0,52
"LCE",2007,0,52
"LCE",2007,0,52
"LCE",2007,0,52
"LCE",2007,0,53
"LCE",2007,0,53
"LCE",2007,0,53
"LCE",2007,0,53
"LCE",2007,0,53
"LCE",2007,0,59
"LCE",2007,0,60
"LCE",2007,0,61
"LCE",2007,0,65
"LCE",2007,0,66
"LCE",2007,0,66
"LCW",2007,0,16
"LCW",2007,0,16
"LCW",2007,0,30
"LCW",2007,0,30
"LCW",2007,0,33
"LCW",2007,0,33
"LCW",2007,0,34
"LCW",2007,0,34
"LCW",2007,0,36
"LCW",2007,0,36
"LCW",2007,0,37
"LCW",2007,0,37
"LCW",2007,0,37
"LCW",2007,0,37
"LCW",2007,0,37
"LCW",2007,0,37
"LCW",2007,0,39
"LCW",2007,0,39
"LCW",2007,0,41
"LCW",2007,0,41
"LCW",2007,0,44
"LCW",2007,0,44
"LCW",2007,0,45
"LCW",2007,0,45
"LCW",2007,0,46
"LCW",2007,0,46
"LCW",2007,0,47
"LCW",2007,0,47
"LCW",2007,0,49
"LCW",2007,0,49
"LCW",2007,0,49
"LCW",2007,0,49
"LCW",2007,0,50
"LCW",2007,0,50
"LCW",2007,0,50
"LCW",2007,0,50
"LCW",2007,0,52
"LCW",2007,0,52
"LCW",2007,0,53
"LCW",2007,0,53
"LCW",2007,0,55
"LCW",2007,0,55
"LCW",2007,0,64
"LCW",2007,0,64
"LCW",2007,0,80
"LCW",2007,0,80
"LCW",2007,0,82
"LCW",2007,0,82
"LCW",2007,0,88
"LCW",2007,0,88
"LO",2007,0,20
"LO",2007,0,20
"LO",2007,0,33
"LO",2007,0,33
"LO",2007,0,34
"LO",2007,0,34
"LO",2007,0,35
"LO",2007,0,35
"LO",2007,0,36
"LO",2007,0,36
"LO",2007,0,38
"LO",2007,0,38
"LO",2007,0,38
"LO",2007,0,38
"LO",2007,0,39
"LO",2007,0,39
"LO",2007,0,42
"LO",2007,0,42
"LO",2007,0,46
"LO",2007,0,46
"LO",2007,0,52
"LO",2007,0,52
"LO",2007,0,53
"LO",2007,0,53
"LO",2007,0,56
"LO",2007,0,56
"LO",2007,0,58
"LO",2007,0,58
"LO",2007,0,58
"LO",2007,0,58
"LO",2007,0,58
"LO",2007,0,58
"LO",2007,0,60
"LO",2007,0,60
"LO",2007,0,70
"LO",2007,0,70
"LO",2007,0,73
"LO",2007,0,73
"LO",2007,0,74
"LO",2007,0,74
"LO",2007,0,86
"LO",2007,0,86
"LO",2007,0,94
"LO",2007,0,94
"MC",2007,0,26
"MC",2007,0,26
"MC",2007,0,29
"MC",2007,0,29
"MC",2007,0,30
"MC",2007,0,30
"MC",2007,0,33
"MC",2007,0,33
"MC",2007,0,34
"MC",2007,0,34
"MC",2007,0,35
"MC",2007,0,35
"MC",2007,0,35
"MC",2007,0,35
"MC",2007,0,37
"MC",2007,0,37
"MC",2007,0,39
"MC",2007,0,39
"MC",2007,0,40
"MC",2007,0,40
"MC",2007,0,43
"MC",2007,0,43
"MC",2007,0,43
"MC",2007,0,43
"MC",2007,0,44
"MC",2007,0,44
"MC",2007,0,45
"MC",2007,0,45
"MC",2007,0,45
"MC",2007,0,45
"MC",2007,0,49
"MC",2007,0,49
"MC",2007,0,50
"MC",2007,0,50
"MC",2007,0,50
"MC",2007,0,50
"MC",2007,0,55
"MC",2007,0,55
"MC",2007,0,55
"MC",2007,0,55
"MC",2007,0,59
"MC",2007,0,59
"MC",2007,0,60
"MC",2007,0,60
"MC",2007,0,77
"MC",2007,0,77
"MC",2007,0,79
"MC",2007,0,79
"MC",2007,0,86
"MC",2007,0,86
"OKRE",2007,0,16
"OKRE",2007,0,16
"OKRE",2007,0,22
"OKRE",2007,0,22
"OKRE",2007,0,23
"OKRE",2007,0,23
"OKRE",2007,0,24
"OKRE",2007,0,24
"OKRE",2007,0,25
"OKRE",2007,0,25
"OKRE",2007,0,25
"OKRE",2007,0,25
"OKRE",2007,0,26
"OKRE",2007,0,26
"OKRE",2007,0,28
"OKRE",2007,0,28
"OKRE",2007,0,31
"OKRE",2007,0,31
"OKRE",2007,0,33
"OKRE",2007,0,33
"OKRE",2007,0,35
"OKRE",2007,0,35
"OKRE",2007,0,37
"OKRE",2007,0,37
"OKRE",2007,0,38
"OKRE",2007,0,38
"OKRE",2007,0,39
"OKRE",2007,0,39
"OKRE",2007,0,41
"OKRE",2007,0,41
