"site","bagNo","round","age","block","germStart","germCount","viabStart","viabStain"
"LCW",64,3,1,8,15,10,5,4
"LCW",64,3,1,9,15,11,4,3
"LCW",64,3,1,11,3,2,1,0
"LCW",68,3,1,5,15,0,10,0
"LO",61,3,1,1,15,11,2,2
"LO",61,3,1,11,15,10,5,1
"LO",62,3,1,3,15,12,3,1
"LO",62,3,1,14,15,15,0,NA
"LO",63,3,1,10,15,15,0,NA
"LO",64,3,1,4,4,1,3,2
"LO",65,3,1,6,15,14,0,NA
"LO",65,3,1,15,15,15,0,NA
"LO",66,3,1,8,15,13,2,0
"LO",66,3,1,17,15,13,2,0
"LO",67,3,1,7,15,14,1,0
"LO",67,3,1,16,15,14,1,0
"LO",68,3,1,5,15,13,2,0
"LO",68,3,1,13,15,13,2,1
"LO",69,3,1,2,15,13,2,1
"LO",69,3,1,12,15,15,0,NA
"LO",70,3,1,9,15,14,1,1
"MC",61,3,1,10,11,4,7,4
"MC",62,3,1,4,15,11,4,2
"MC",62,3,1,11,15,11,4,1
"MC",62,3,1,17,15,9,6,1
"MC",63,3,1,6,15,4,10,3
"MC",63,3,1,13,9,2,7,2
"MC",64,3,1,5,15,13,2,0
"MC",64,3,1,12,15,14,1,1
"MC",65,3,1,2,2,0,2,0
"MC",66,3,1,9,15,12,3,2
"MC",66,3,1,16,14,6,8,3
"MC",67,3,1,8,15,9,6,1
"MC",67,3,1,15,3,0,3,1
"MC",68,3,1,1,10,6,4,2
"MC",69,3,1,7,15,3,10,0
"MC",69,3,1,14,15,11,4,0
"MC",70,3,1,3,1,1,0,NA
"OKRE",61,3,1,9,15,2,10,9
"OKRE",61,3,1,17,15,13,2,1
"OKRE",62,3,1,6,13,9,4,4
"OKRE",63,3,1,3,15,5,10,0
"OKRE",63,3,1,13,5,0,5,0
"OKRE",64,3,1,8,15,11,3,3
"OKRE",65,3,1,1,15,13,2,2
"OKRE",65,3,1,11,15,9,6,3
"OKRE",66,3,1,4,15,7,8,6
"OKRE",66,3,1,14,15,13,2,1
"OKRE",67,3,1,2,15,14,1,0
"OKRE",67,3,1,12,14,13,1,1
"OKRE",68,3,1,7,15,7,8,4
"OKRE",68,3,1,16,15,11,4,1
"OKRE",69,3,1,5,15,13,2,1
"OKRE",69,3,1,15,12,3,9,9
"OKRE",70,3,1,10,15,12,3,3
"OKRW",61,3,1,6,15,6,9,6
"OKRW",61,3,1,13,15,8,7,7
"OKRW",62,3,1,2,15,15,0,NA
"OKRW",62,3,1,9,14,6,8,8
"OKRW",64,3,1,3,15,4,10,5
"OKRW",64,3,1,10,12,3,9,7
"OKRW",66,3,1,8,15,11,4,3
"OKRW",66,3,1,15,15,12,3,3
"OKRW",67,3,1,1,2,2,0,NA
"OKRW",68,3,1,4,15,9,6,2
"OKRW",68,3,1,11,15,12,3,2
"OKRW",68,3,1,16,13,11,2,0
"OKRW",69,3,1,7,15,12,3,2
"OKRW",69,3,1,14,15,8,7,3
"OKRW",70,3,1,5,15,6,9,9
"OKRW",70,3,1,12,15,14,1,1
"OSR",61,3,1,7,3,0,3,0
"OSR",62,3,1,4,15,4,10,9
"OSR",62,3,1,14,15,13,2,0
"OSR",63,3,1,1,15,12,3,0
"OSR",63,3,1,11,15,12,3,2
"OSR",64,3,1,5,10,3,6,2
"OSR",65,3,1,3,15,13,2,1
"OSR",65,3,1,13,15,11,4,0
"OSR",66,3,1,6,15,13,2,0
"OSR",66,3,1,15,15,14,1,1
"OSR",67,3,1,10,15,11,4,1
"OSR",68,3,1,2,15,5,10,0
